week_9_page_4.jpg_43.,,$3.99,g,1,3,0.43,0
week_9_page_2.jpg_42.,Chardonnay,$5.00,g,2,3.98,0.44,0
week_9_page_2.jpg_35.,,/ l..b,g,1,4,0,0
week_9_page_2.jpg_31.,Natural Hamburger & Hot Dog Buns,$3.99,g,1,,0,0
week_9_page_1.jpg_13.,,pip.:e,g,1,12,0,0
week_9_page_4.jpg_42.,Organic Zucchini,lb..7 ,g,1,1.50,0,0
week_9_page_2.jpg_41.,Salsa,$5.00,g,2,3.98,0.44,0
week_9_page_1.jpg_39.,,b. .& ,g,1,2,0,0
week_9_page_1.jpg_51.,,9/l..b,lb,1,3,0,0
week_9_page_1.jpg_50.,,9/I..b,,1,2.50,0,0
week_9_page_4.jpg_32.,Filet Kabobs,/ l..b,pt,1,2,0,0
week_9_page_4.jpg_34.,Asparagus,9/I..b,g,1,2,0,0
week_9_page_1.jpg_49.,,99 .bI,,1,3,0,0
week_9_page_4.jpg_33.,, II..b,g,1,1,0,0
week_9_page_4.jpg_36.,White Shrimp,9/I..b,g,1,3,0,0
week_9_page_2.jpg_40.,,$9.99,g,1,1.50,0.13,0
week_9_page_1.jpg_40.,,9/I..b,g,1,2.50,0,0
week_9_page_4.jpg_29.,,b. .yg,g,1,5,0,0
week_9_page_1.jpg_41.,,Pri.ec,g,1,8.49,0,0
week_9_page_1.jpg_45.,Ground Sirloin,/ l..b,lb,1,4,0,0
week_9_page_4.jpg_40.,,/ I..b,g,1,3,0,0
week_9_page_4.jpg_37.,,$5.00,g,2,3.98,0.44,0
